Year,Country / territory of asylum/residence,Origin,Population type,Value
2017,Anguilla,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
2017,Albania,China,Refugees (incl. refugee-like situations),12
2017,Albania,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),*
2017,Albania,Egypt,Refugees (incl. refugee-like situations),*
2017,Albania,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),12
2017,Albania,Iraq,Refugees (incl. refugee-like situations),*
2017,Albania,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),*
2017,Albania,Montenegro,Refugees (incl. refugee-like situations),*
2017,Albania,Peru,Refugees (incl. refugee-like situations),*
2017,Albania,Palestinian,Refugees (incl. refugee-like situations),*
2017,Albania,Russian Federation,Refugees (incl. refugee-like situations),*
2017,Albania,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),60
2017,Albania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
2017,Albania,Turkey,Refugees (incl. refugee-like situations),5
2017,Albania,Ukraine,Refugees (incl. refugee-like situations),*
2017,Albania,Uzbekistan,Refugees (incl. refugee-like situations),*
2017,Albania,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Afghanistan,Refugees (incl. refugee-like situations),5
2017,United Arab Emirates,Ethiopia,Refugees (incl. refugee-like situations),8
2017,United Arab Emirates,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Iraq,Refugees (incl. refugee-like situations),697
2017,United Arab Emirates,Lebanon,Refugees (incl. refugee-like situations),6
2017,United Arab Emirates,Pakistan,Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Palestinian,Refugees (incl. refugee-like situations),5
2017,United Arab Emirates,Rwanda,Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Saudi Arabia,Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Sudan,Refugees (incl. refugee-like situations),8
2017,United Arab Emirates,Somalia,Refugees (incl. refugee-like situations),17
2017,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),128
2017,United Arab Emirates,Uganda,Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Uzbekistan,Refugees (incl. refugee-like situations),*
2017,United Arab Emirates,Stateless,Refugees (incl. refugee-like situations),*
2017,Argentina,Afghanistan,Refugees (incl. refugee-like situations),5
2017,Argentina,Angola,Refugees (incl. refugee-like situations),14
2017,Argentina,Albania,Refugees (incl. refugee-like situations),18
2017,Argentina,Armenia,Refugees (incl. refugee-like situations),78
2017,Argentina,Burundi,Refugees (incl. refugee-like situations),*
2017,Argentina,Benin,Refugees (incl. refugee-like situations),*
2017,Argentina,Bangladesh,Refugees (incl. refugee-like situations),5
2017,Argentina,Bulgaria,Refugees (incl. refugee-like situations),*
2017,Argentina,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),6
2017,Argentina,Belarus,Refugees (incl. refugee-like situations),*
2017,Argentina,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),*
2017,Argentina,Brazil,Refugees (incl. refugee-like situations),*
2017,Argentina,Central African Rep.,Refugees (incl. refugee-like situations),*
2017,Argentina,Chile,Refugees (incl. refugee-like situations),33
2017,Argentina,China,Refugees (incl. refugee-like situations),*
2017,Argentina,Côte d'Ivoire,Refugees (incl. refugee-like situations),20
2017,Argentina,Cameroon,Refugees (incl. refugee-like situations),6
2017,Argentina,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),22
2017,Argentina,Congo,Refugees (incl. refugee-like situations),*
2017,Argentina,Colombia,Refugees (incl. refugee-like situations),544
2017,Argentina,Costa Rica,Refugees (incl. refugee-like situations),5
2017,Argentina,Cuba,Refugees (incl. refugee-like situations),255
2017,Argentina,Dominican Rep.,Refugees (incl. refugee-like situations),*
2017,Argentina,Algeria,Refugees (incl. refugee-like situations),30
2017,Argentina,Ecuador,Refugees (incl. refugee-like situations),17
2017,Argentina,Egypt,Refugees (incl. refugee-like situations),*
2017,Argentina,Eritrea,Refugees (incl. refugee-like situations),*
2017,Argentina,Ethiopia,Refugees (incl. refugee-like situations),*
2017,Argentina,Georgia,Refugees (incl. refugee-like situations),*
2017,Argentina,Ghana,Refugees (incl. refugee-like situations),38
2017,Argentina,Guinea,Refugees (incl. refugee-like situations),9
2017,Argentina,Gambia,Refugees (incl. refugee-like situations),*
2017,Argentina,Guinea-Bissau,Refugees (incl. refugee-like situations),8
2017,Argentina,Guatemala,Refugees (incl. refugee-like situations),*
2017,Argentina,Honduras,Refugees (incl. refugee-like situations),*
2017,Argentina,Croatia,Refugees (incl. refugee-like situations),*
2017,Argentina,Haiti,Refugees (incl. refugee-like situations),66
2017,Argentina,Hungary,Refugees (incl. refugee-like situations),*
2017,Argentina,India,Refugees (incl. refugee-like situations),22
2017,Argentina,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),23
2017,Argentina,Iraq,Refugees (incl. refugee-like situations),22
2017,Argentina,Italy,Refugees (incl. refugee-like situations),*
2017,Argentina,Jordan,Refugees (incl. refugee-like situations),*
2017,Argentina,Kazakhstan,Refugees (incl. refugee-like situations),18
2017,Argentina,Kyrgyzstan,Refugees (incl. refugee-like situations),*
2017,Argentina,Lebanon,Refugees (incl. refugee-like situations),*
2017,Argentina,Liberia,Refugees (incl. refugee-like situations),44
2017,Argentina,Sri Lanka,Refugees (incl. refugee-like situations),37
2017,Argentina,Morocco,Refugees (incl. refugee-like situations),*
2017,Argentina,Mexico,Refugees (incl. refugee-like situations),*
2017,Argentina,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),9
2017,Argentina,Mali,Refugees (incl. refugee-like situations),9
2017,Argentina,Mauritania,Refugees (incl. refugee-like situations),*
2017,Argentina,Nigeria,Refugees (incl. refugee-like situations),42
2017,Argentina,Nicaragua,Refugees (incl. refugee-like situations),*
2017,Argentina,Pakistan,Refugees (incl. refugee-like situations),32
2017,Argentina,Peru,Refugees (incl. refugee-like situations),547
2017,Argentina,Philippines,Refugees (incl. refugee-like situations),*
2017,Argentina,Paraguay,Refugees (incl. refugee-like situations),8
2017,Argentina,Palestinian,Refugees (incl. refugee-like situations),10
2017,Argentina,Romania,Refugees (incl. refugee-like situations),51
2017,Argentina,Russian Federation,Refugees (incl. refugee-like situations),65
2017,Argentina,Rwanda,Refugees (incl. refugee-like situations),*
2017,Argentina,Sudan,Refugees (incl. refugee-like situations),*
2017,Argentina,Senegal,Refugees (incl. refugee-like situations),42
2017,Argentina,Sierra Leone,Refugees (incl. refugee-like situations),37
2017,Argentina,El Salvador,Refugees (incl. refugee-like situations),22
2017,Argentina,Somalia,Refugees (incl. refugee-like situations),5
2017,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),*
2017,Argentina,Syrian Arab Rep.,Refugees (incl. refugee-like situations),370
2017,Argentina,Chad,Refugees (incl. refugee-like situations),*
2017,Argentina,Togo,Refugees (incl. refugee-like situations),*
2017,Argentina,Turkmenistan,Refugees (incl. refugee-like situations),*
2017,Argentina,Tunisia,Refugees (incl. refugee-like situations),*
2017,Argentina,Turkey,Refugees (incl. refugee-like situations),11
2017,Argentina,Ukraine,Refugees (incl. refugee-like situations),94
2017,Argentina,United States of America,Refugees (incl. refugee-like situations),*
2017,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),*
2017,Argentina,Stateless,Refugees (incl. refugee-like situations),6
2017,Argentina,Various/Unknown,Refugees (incl. refugee-like situations),567
2017,Argentina,Yemen,Refugees (incl. refugee-like situations),15
2017,Argentina,South Africa,Refugees (incl. refugee-like situations),*
2017,Argentina,Zimbabwe,Refugees (incl. refugee-like situations),*
2017,Armenia,Azerbaijan,Refugees (incl. refugee-like situations),2034
2017,Armenia,Côte d'Ivoire,Refugees (incl. refugee-like situations),6
2017,Armenia,Cameroon,Refugees (incl. refugee-like situations),*
2017,Armenia,Georgia,Refugees (incl. refugee-like situations),8
2017,Armenia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),31
2017,Armenia,Iraq,Refugees (incl. refugee-like situations),1061
2017,Armenia,Jordan,Refugees (incl. refugee-like situations),*
2017,Armenia,Kazakhstan,Refugees (incl. refugee-like situations),*
2017,Armenia,Lebanon,Refugees (incl. refugee-like situations),19
2017,Armenia,Nigeria,Refugees (incl. refugee-like situations),*
2017,Armenia,Palestinian,Refugees (incl. refugee-like situations),6
2017,Armenia,Russian Federation,Refugees (incl. refugee-like situations),*
2017,Armenia,Sudan,Refugees (incl. refugee-like situations),*
2017,Armenia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14680
2017,Armenia,Turkey,Refugees (incl. refugee-like situations),*
2017,Armenia,Ukraine,Refugees (incl. refugee-like situations),113
2017,Armenia,Yemen,Refugees (incl. refugee-like situations),5
2017,Antigua and Barbuda,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
2017,Australia,Afghanistan,Refugees (incl. refugee-like situations),10922
2017,Australia,Angola,Refugees (incl. refugee-like situations),*
2017,Australia,Albania,Refugees (incl. refugee-like situations),59
2017,Australia,United Arab Emirates,Refugees (incl. refugee-like situations),7
2017,Australia,Argentina,Refugees (incl. refugee-like situations),*
2017,Australia,Armenia,Refugees (incl. refugee-like situations),*
2017,Australia,Azerbaijan,Refugees (incl. refugee-like situations),9
2017,Australia,Burundi,Refugees (incl. refugee-like situations),50
2017,Australia,Benin,Refugees (incl. refugee-like situations),*
2017,Australia,Bangladesh,Refugees (incl. refugee-like situations),434
2017,Australia,Bahrain,Refugees (incl. refugee-like situations),97
2017,Australia,Belarus,Refugees (incl. refugee-like situations),7
2017,Australia,Brazil,Refugees (incl. refugee-like situations),*
2017,Australia,Bhutan,Refugees (incl. refugee-like situations),*
2017,Australia,Botswana,Refugees (incl. refugee-like situations),*
2017,Australia,Central African Rep.,Refugees (incl. refugee-like situations),*
2017,Australia,China,Refugees (incl. refugee-like situations),2543
2017,Australia,Côte d'Ivoire,Refugees (incl. refugee-like situations),5
2017,Australia,Cameroon,Refugees (incl. refugee-like situations),42
2017,Australia,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),48
2017,Australia,Congo,Refugees (incl. refugee-like situations),13
2017,Australia,Colombia,Refugees (incl. refugee-like situations),116
2017,Australia,Cuba,Refugees (incl. refugee-like situations),*
2017,Australia,Czech Rep.,Refugees (incl. refugee-like situations),*
2017,Australia,Germany,Refugees (incl. refugee-like situations),5
2017,Australia,Djibouti,Refugees (incl. refugee-like situations),*
2017,Australia,Algeria,Refugees (incl. refugee-like situations),10
2017,Australia,Ecuador,Refugees (incl. refugee-like situations),*
2017,Australia,Egypt,Refugees (incl. refugee-like situations),1560
2017,Australia,Eritrea,Refugees (incl. refugee-like situations),138
2017,Australia,Estonia,Refugees (incl. refugee-like situations),*
2017,Australia,Ethiopia,Refugees (incl. refugee-like situations),282
2017,Australia,Fiji,Refugees (incl. refugee-like situations),406
2017,Australia,France,Refugees (incl. refugee-like situations),*
2017,Australia,United Kingdom,Refugees (incl. refugee-like situations),5
2017,Australia,Georgia,Refugees (incl. refugee-like situations),16
2017,Australia,Ghana,Refugees (incl. refugee-like situations),32
2017,Australia,Guinea,Refugees (incl. refugee-like situations),12
2017,Australia,Gambia,Refugees (incl. refugee-like situations),8
2017,Australia,Greece,Refugees (incl. refugee-like situations),6
2017,Australia,Guatemala,Refugees (incl. refugee-like situations),*
2017,Australia,"China, Hong Kong SAR",Refugees (incl. refugee-like situations),*
2017,Australia,Honduras,Refugees (incl. refugee-like situations),*
2017,Australia,Indonesia,Refugees (incl. refugee-like situations),205
2017,Australia,India,Refugees (incl. refugee-like situations),388
2017,Australia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),8077
2017,Australia,Iraq,Refugees (incl. refugee-like situations),4042
2017,Australia,Israel,Refugees (incl. refugee-like situations),15
2017,Australia,Italy,Refugees (incl. refugee-like situations),5
2017,Australia,Jamaica,Refugees (incl. refugee-like situations),*
2017,Australia,Jordan,Refugees (incl. refugee-like situations),149
2017,Australia,Japan,Refugees (incl. refugee-like situations),10
2017,Australia,Kazakhstan,Refugees (incl. refugee-like situations),7
2017,Australia,Kenya,Refugees (incl. refugee-like situations),117
2017,Australia,Kyrgyzstan,Refugees (incl. refugee-like situations),14
2017,Australia,Cambodia,Refugees (incl. refugee-like situations),31
2017,Australia,Rep. of Korea,Refugees (incl. refugee-like situations),45
2017,Australia,Kuwait,Refugees (incl. refugee-like situations),54
2017,Australia,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),*
2017,Australia,Lebanon,Refugees (incl. refugee-like situations),548
2017,Australia,Liberia,Refugees (incl. refugee-like situations),37
2017,Australia,Libya,Refugees (incl. refugee-like situations),992
2017,Australia,Sri Lanka,Refugees (incl. refugee-like situations),4489
2017,Australia,Morocco,Refugees (incl. refugee-like situations),12
2017,Australia,Maldives,Refugees (incl. refugee-like situations),10
2017,Australia,Mexico,Refugees (incl. refugee-like situations),10
2017,Australia,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),*
2017,Australia,Myanmar,Refugees (incl. refugee-like situations),516
2017,Australia,Mongolia,Refugees (incl. refugee-like situations),27
2017,Australia,Mozambique,Refugees (incl. refugee-like situations),*
2017,Australia,Mauritius,Refugees (incl. refugee-like situations),7
2017,Australia,Malaysia,Refugees (incl. refugee-like situations),240
2017,Australia,Niger,Refugees (incl. refugee-like situations),*
2017,Australia,Nigeria,Refugees (incl. refugee-like situations),187
2017,Australia,Netherlands,Refugees (incl. refugee-like situations),*
2017,Australia,Nepal,Refugees (incl. refugee-like situations),182
2017,Australia,New Zealand,Refugees (incl. refugee-like situations),26
2017,Australia,Oman,Refugees (incl. refugee-like situations),*
2017,Australia,Pakistan,Refugees (incl. refugee-like situations),4496
2017,Australia,Peru,Refugees (incl. refugee-like situations),9
2017,Australia,Philippines,Refugees (incl. refugee-like situations),51
2017,Australia,Papua New Guinea,Refugees (incl. refugee-like situations),396
2017,Australia,Poland,Refugees (incl. refugee-like situations),*
2017,Australia,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),19
2017,Australia,Palestinian,Refugees (incl. refugee-like situations),378
2017,Australia,Romania,Refugees (incl. refugee-like situations),9
2017,Australia,Russian Federation,Refugees (incl. refugee-like situations),55
2017,Australia,Rwanda,Refugees (incl. refugee-like situations),64
2017,Australia,Saudi Arabia,Refugees (incl. refugee-like situations),94
2017,Australia,Sudan,Refugees (incl. refugee-like situations),239
2017,Australia,Senegal,Refugees (incl. refugee-like situations),*
2017,Australia,Singapore,Refugees (incl. refugee-like situations),6
2017,Australia,Solomon Islands,Refugees (incl. refugee-like situations),21
2017,Australia,Sierra Leone,Refugees (incl. refugee-like situations),29
2017,Australia,El Salvador,Refugees (incl. refugee-like situations),10
2017,Australia,Somalia,Refugees (incl. refugee-like situations),139
2017,Australia,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),*
2017,Australia,South Sudan,Refugees (incl. refugee-like situations),7
2017,Australia,Sweden,Refugees (incl. refugee-like situations),*
2017,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),477
2017,Australia,Chad,Refugees (incl. refugee-like situations),*
2017,Australia,Togo,Refugees (incl. refugee-like situations),*
2017,Australia,Thailand,Refugees (incl. refugee-like situations),15
2017,Australia,Tibetan,Refugees (incl. refugee-like situations),17
2017,Australia,Tajikistan,Refugees (incl. refugee-like situations),*
2017,Australia,Turkmenistan,Refugees (incl. refugee-like situations),*
2017,Australia,Timor-Leste,Refugees (incl. refugee-like situations),8
2017,Australia,Tonga,Refugees (incl. refugee-like situations),34
2017,Australia,Tunisia,Refugees (incl. refugee-like situations),5
2017,Australia,Turkey,Refugees (incl. refugee-like situations),476
2017,Australia,United Rep. of Tanzania,Refugees (incl. refugee-like situations),14
2017,Australia,Uganda,Refugees (incl. refugee-like situations),65
2017,Australia,Ukraine,Refugees (incl. refugee-like situations),18
2017,Australia,United States of America,Refugees (incl. refugee-like situations),20
2017,Australia,Uzbekistan,Refugees (incl. refugee-like situations),29
2017,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),26
2017,Australia,Viet Nam,Refugees (incl. refugee-like situations),200
2017,Australia,Vanuatu,Refugees (incl. refugee-like situations),*
2017,Australia,Samoa,Refugees (incl. refugee-like situations),*
2017,Australia,Stateless,Refugees (incl. refugee-like situations),2609
2017,Australia,Various/Unknown,Refugees (incl. refugee-like situations),47
2017,Australia,Yemen,Refugees (incl. refugee-like situations),27
2017,Australia,South Africa,Refugees (incl. refugee-like situations),36
2017,Australia,Zambia,Refugees (incl. refugee-like situations),10
2017,Australia,Zimbabwe,Refugees (incl. refugee-like situations),986
2017,Austria,Afghanistan,Refugees (incl. refugee-like situations),26939
2017,Austria,Angola,Refugees (incl. refugee-like situations),82
2017,Austria,Albania,Refugees (incl. refugee-like situations),88
2017,Austria,United Arab Emirates,Refugees (incl. refugee-like situations),*
2017,Austria,Armenia,Refugees (incl. refugee-like situations),692
2017,Austria,Azerbaijan,Refugees (incl. refugee-like situations),323
2017,Austria,Burundi,Refugees (incl. refugee-like situations),16
2017,Austria,Benin,Refugees (incl. refugee-like situations),*
2017,Austria,Burkina Faso,Refugees (incl. refugee-like situations),9
2017,Austria,Bangladesh,Refugees (incl. refugee-like situations),276
2017,Austria,Bulgaria,Refugees (incl. refugee-like situations),*
2017,Austria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),117
2017,Austria,Belarus,Refugees (incl. refugee-like situations),82
2017,Austria,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),11
2017,Austria,Brazil,Refugees (incl. refugee-like situations),*
2017,Austria,Bhutan,Refugees (incl. refugee-like situations),*
2017,Austria,Canada,Refugees (incl. refugee-like situations),*
2017,Austria,China,Refugees (incl. refugee-like situations),559
2017,Austria,Côte d'Ivoire,Refugees (incl. refugee-like situations),70
2017,Austria,Cameroon,Refugees (incl. refugee-like situations),233
2017,Austria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),406
2017,Austria,Congo,Refugees (incl. refugee-like situations),131
2017,Austria,Colombia,Refugees (incl. refugee-like situations),*
2017,Austria,Cuba,Refugees (incl. refugee-like situations),14
2017,Austria,Algeria,Refugees (incl. refugee-like situations),43
2017,Austria,Egypt,Refugees (incl. refugee-like situations),185
2017,Austria,Eritrea,Refugees (incl. refugee-like situations),303
2017,Austria,Estonia,Refugees (incl. refugee-like situations),*
2017,Austria,Ethiopia,Refugees (incl. refugee-like situations),188
2017,Austria,Gabon,Refugees (incl. refugee-like situations),*
2017,Austria,Georgia,Refugees (incl. refugee-like situations),555
2017,Austria,Ghana,Refugees (incl. refugee-like situations),31
2017,Austria,Guinea,Refugees (incl. refugee-like situations),142
2017,Austria,Gambia,Refugees (incl. refugee-like situations),134
2017,Austria,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2017,Austria,Equatorial Guinea,Refugees (incl. refugee-like situations),*
2017,Austria,Guatemala,Refugees (incl. refugee-like situations),9
2017,Austria,Croatia,Refugees (incl. refugee-like situations),*
2017,Austria,Haiti,Refugees (incl. refugee-like situations),*
2017,Austria,Indonesia,Refugees (incl. refugee-like situations),*
2017,Austria,India,Refugees (incl. refugee-like situations),63
2017,Austria,Ireland,Refugees (incl. refugee-like situations),*
2017,Austria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4565
2017,Austria,Iraq,Refugees (incl. refugee-like situations),7414
2017,Austria,Israel,Refugees (incl. refugee-like situations),11
2017,Austria,Jordan,Refugees (incl. refugee-like situations),62
2017,Austria,Kazakhstan,Refugees (incl. refugee-like situations),100
2017,Austria,Kenya,Refugees (incl. refugee-like situations),30
2017,Austria,Kyrgyzstan,Refugees (incl. refugee-like situations),244
2017,Austria,Cambodia,Refugees (incl. refugee-like situations),*
2017,Austria,Rep. of Korea,Refugees (incl. refugee-like situations),*
2017,Austria,Kuwait,Refugees (incl. refugee-like situations),*
2017,Austria,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),*
2017,Austria,Lebanon,Refugees (incl. refugee-like situations),68
2017,Austria,Liberia,Refugees (incl. refugee-like situations),18
2017,Austria,Libya,Refugees (incl. refugee-like situations),80
2017,Austria,Sri Lanka,Refugees (incl. refugee-like situations),67
2017,Austria,Morocco,Refugees (incl. refugee-like situations),30
2017,Austria,Rep. of Moldova,Refugees (incl. refugee-like situations),66
2017,Austria,Madagascar,Refugees (incl. refugee-like situations),*
2017,Austria,Mexico,Refugees (incl. refugee-like situations),*
2017,Austria,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),75
2017,Austria,Mali,Refugees (incl. refugee-like situations),11
2017,Austria,Myanmar,Refugees (incl. refugee-like situations),36
2017,Austria,Montenegro,Refugees (incl. refugee-like situations),12
2017,Austria,Mongolia,Refugees (incl. refugee-like situations),177
2017,Austria,Mauritania,Refugees (incl. refugee-like situations),*
2017,Austria,Mauritius,Refugees (incl. refugee-like situations),*
2017,Austria,Nigeria,Refugees (incl. refugee-like situations),407
2017,Austria,Nicaragua,Refugees (incl. refugee-like situations),*
2017,Austria,Nepal,Refugees (incl. refugee-like situations),39
2017,Austria,Pakistan,Refugees (incl. refugee-like situations),270
2017,Austria,Peru,Refugees (incl. refugee-like situations),*
2017,Austria,Philippines,Refugees (incl. refugee-like situations),10
2017,Austria,Romania,Refugees (incl. refugee-like situations),9
2017,Austria,Russian Federation,Refugees (incl. refugee-like situations),11301
2017,Austria,Rwanda,Refugees (incl. refugee-like situations),19
2017,Austria,Saudi Arabia,Refugees (incl. refugee-like situations),*
2017,Austria,Sudan,Refugees (incl. refugee-like situations),298
2017,Austria,Senegal,Refugees (incl. refugee-like situations),13
2017,Austria,Sierra Leone,Refugees (incl. refugee-like situations),26
2017,Austria,Somalia,Refugees (incl. refugee-like situations),5671
2017,Austria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),1216
2017,Austria,South Sudan,Refugees (incl. refugee-like situations),5
2017,Austria,Slovakia,Refugees (incl. refugee-like situations),*
2017,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),43888
2017,Austria,Chad,Refugees (incl. refugee-like situations),*
2017,Austria,Togo,Refugees (incl. refugee-like situations),12
2017,Austria,Tajikistan,Refugees (incl. refugee-like situations),166
2017,Austria,Turkmenistan,Refugees (incl. refugee-like situations),7
2017,Austria,Tunisia,Refugees (incl. refugee-like situations),7
2017,Austria,Turkey,Refugees (incl. refugee-like situations),802
2017,Austria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2017,Austria,Uganda,Refugees (incl. refugee-like situations),23
2017,Austria,Ukraine,Refugees (incl. refugee-like situations),292
2017,Austria,United States of America,Refugees (incl. refugee-like situations),*
2017,Austria,Uzbekistan,Refugees (incl. refugee-like situations),113
2017,Austria,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),*
2017,Austria,Viet Nam,Refugees (incl. refugee-like situations),17
2017,Austria,Stateless,Refugees (incl. refugee-like situations),2326
2017,Austria,Various/Unknown,Refugees (incl. refugee-like situations),3308
2017,Austria,Yemen,Refugees (incl. refugee-like situations),163
2017,Austria,South Africa,Refugees (incl. refugee-like situations),*
2017,Austria,Zambia,Refugees (incl. refugee-like situations),*
2017,Austria,Zimbabwe,Refugees (incl. refugee-like situations),22
2017,Azerbaijan,Afghanistan,Refugees (incl. refugee-like situations),587
2017,Azerbaijan,Armenia,Refugees (incl. refugee-like situations),*
2017,Azerbaijan,Côte d'Ivoire,Refugees (incl. refugee-like situations),*
2017,Azerbaijan,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),56
2017,Azerbaijan,Iraq,Refugees (incl. refugee-like situations),8
2017,Azerbaijan,Pakistan,Refugees (incl. refugee-like situations),16
2017,Azerbaijan,Palestinian,Refugees (incl. refugee-like situations),*
2017,Azerbaijan,Russian Federation,Refugees (incl. refugee-like situations),419
2017,Azerbaijan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),15
2017,Azerbaijan,Ukraine,Refugees (incl. refugee-like situations),6
2017,Azerbaijan,Yemen,Refugees (incl. refugee-like situations),8
2017,Burundi,Central African Rep.,Refugees (incl. refugee-like situations),*
2017,Burundi,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),61867
2017,Burundi,Kenya,Refugees (incl. refugee-like situations),*
2017,Burundi,Mali,Refugees (incl. refugee-like situations),13
2017,Burundi,Mozambique,Refugees (incl. refugee-like situations),*
2017,Burundi,Pakistan,Refugees (incl. refugee-like situations),*
2017,Burundi,Rwanda,Refugees (incl. refugee-like situations),422
2017,Burundi,Senegal,Refugees (incl. refugee-like situations),*
2017,Burundi,Somalia,Refugees (incl. refugee-like situations),23
2017,Burundi,South Sudan,Refugees (incl. refugee-like situations),*
2017,Burundi,Turkey,Refugees (incl. refugee-like situations),21
2017,Burundi,Uganda,Refugees (incl. refugee-like situations),7
2017,Burundi,Zambia,Refugees (incl. refugee-like situations),*
2017,Belgium,Afghanistan,Refugees (incl. refugee-like situations),3201
2017,Belgium,Angola,Refugees (incl. refugee-like situations),91
2017,Belgium,Albania,Refugees (incl. refugee-like situations),534
2017,Belgium,United Arab Emirates,Refugees (incl. refugee-like situations),*
2017,Belgium,Armenia,Refugees (incl. refugee-like situations),127
2017,Belgium,Azerbaijan,Refugees (incl. refugee-like situations),75
2017,Belgium,Burundi,Refugees (incl. refugee-like situations),454
2017,Belgium,Benin,Refugees (incl. refugee-like situations),30
2017,Belgium,Burkina Faso,Refugees (incl. refugee-like situations),76
2017,Belgium,Bangladesh,Refugees (incl. refugee-like situations),18
2017,Belgium,Bulgaria,Refugees (incl. refugee-like situations),14
